"label","content","train"
"1","remember fireworks friend time spent time lot people felt people world friend love friend friend miss longer talk happened argument","1"
"1","feels hitting blank wall darkness ya dont feel hit blank walls lot times virtually thought wait","1"
"1","today understand feel hitting blank wall darkness strange didnt imagine dont imagine feeling lot","1"
"1","cheated wife yea easy proud easy close cheating","1"
"1","job interviews sweat bullets makes uncomfortable general looked nervous prepared feel prepared curve ball thrown throws stay calm hard stay","1"
"1","year students school sounds great major science happy achievement family proud pleased tough hear","1"
"1","lost job year angry hear happen blue complete surprise hear hope turned blessing","1"
"1","christmas years ago presents wow terrible imagine christmas day christmas time family christmas worst wow hear holiday days days forget","1"
"1","coworker allowed work work performer curious life performance people","1"
"1","night heard nose coming kitchen creepy","1"
"1","park set bench notice wallet felt man giving wallet sweet man hope acknowledged kind gesture grateful lot money wallet people world days appreciation","1"
"1","people rejected time excuse reaching goals happened rejected place wanted work times hear hope opportunity rejected gave generic lines hear","1"
"1","board entire house hurricane coming wow damage luckily house great scared death recent","1"
"1","preschool pants fell class embarassed haha bad cried laughing hear happened","1"
"1","thought things happened feel beach hurricane changed track coming straight boyfriend didnt leave day vacation sound terrible guys decide ended leaving scared stay upset","1"
"1","difference year makes year evening family home tree fell house broke ceiling scary hope hurt tree broke feet daughter happy fine fixed house months repairs house hear trim trees lol","1"
"1","week watching world cup lo behold croatia beat host country russia game won kicks countries win tense game england nervewracking prefer matches teams great tension builds","1"
"1","work questions mobile questions frustrating answer thing older telling cell phone contacts aunt thing accidentally texts understand check contacts list happening coworker","1"
"1","worked truck weekend spent parts special tool fix miss engine problem engine miss driving jerks barely power times drives fine replaced things makes difference long hear hope problem engine","1"
"1","divorced years ago time life living felt sad depressed insecurities felt rejected society felt grew solitude problem grew specific","1"
"1","felt proud accomplished dream wanted long time familiar glad felt building amazing","1"
"1","mood home funny built house camping kid ton backyard space plans camping fun wonderful plans nice pit house","1"
"1","planning home turned blast kind house building moved built working planning decorating appliances sounds great excited excited space friends feel cramped","1"
"1","drink friends drink feel guilty taking drink thing moment wrong night started feeling bad understand big drinker feel guilty promised drink mum started vomiting mess dress mum knew yea understand learned lesson chat","1"
"1","married weeks learned husband affair ongoing wedding sleeping close family friend felt guilty ashamed character sounds sad choose stay work told years decision thought feel cheating kind feel guilty","1"
"1","working job parents picked car surprised thought gonna buy car wow awesome thankful buy car afford","1"
"1","thinking lot teen years early twenties friends fun scared regrets older glad regrets","1"
"1","year ago spent lot time research article accepted topic familiar english century learn","1"
"1","irritating coworkers drive nuts worst bad friendly office smelling smoke chat job","1"
