"label","content","train"
"1","jim beers dinner tempting fitness relax fat act silly remember time guess rightbut feel sitting home suggest walk gym play singsong meet friends idea hear mary sally play foursome sounds great dancing excellent exercise fun","1"
"1","piece cake minute impossible easy exercise everyday","1"
"1","study radio listen background music difference radio true buy record player","1"
"1","terrified watched fall wire","1"
"1","hey john nice started playing ice hockey community league finally position play lot fun skate fast defense pretty big guy play goalie team play guys week practice","1"
"1","hey reading month outlook positive vacation exotic passionate summer fling talking prediction month based zodiac sign sign month date born born april born january lets feeling stress work exciting developments love life interesting summers feel stress work love life practically zodiac stuff bunch nonsense sign lot personality energetic loves match criteria theyre broad apply practical likes things ways sounds","1"
"1","married loves girl girl met holiday spain set date wedding","1"
"1","hear bought house northern suburbs bought day market kind house wonderful spanish style love roof tiles spanish style houses bargaining house river costs double price great bedroom house bedrooms beds living room ceiling garage nice area itll investment buy house end year wedding congratulations","1"
"1","becky motherinlaw driving wall problem loves criticizes shes week invited dinner husband problem food listened fed meat rotten vegetables happening cook happen criticizes raise kids motherinlaw thing complained food fed schools sun stop basically sat told felt constant advice hoped shed things understood lot peaceful sounds idea ill","1"
"1","zinas programmers working hate admit theyre fast kid genius starscom deadline running week itll close starscom starts paying wo cash anymore wo zina","1"
"1","cooking cooking hobby years sold idea cooking taste delicious food wonderful love recipes test friends hope chance taste forget","1"
"1","home jen kitchen wow working storm worked sweat cooking","1"
"1","tan healthy summer camp great things time sailing fishing horseback riding jealous nice summer","1"
"1","diana perfume gave truth wear perfume","1"
"1","ah ah ah daily exercise schedule jog breakfast jog walk work walk thirty minutes gym lunch time stairs elevator dear times week swim play hand ball stop time dance class dance class","1"
"1","grandma yesterday running track college walking track stay fit making kids eat proper foods pays month amazing","1"
"1","register class today problem class enjoy taking psychology crazy classes open days classes class tuesday thursday class class class monday wednesday open classes positive sign monday wednesday ill sign","1"
"1","dad windows honey typhoon coming wow school tomorrow jenny prepare food dad coming","1"
"1","lean russia nice meet lean alike japan english difficult language language difficult true english harder crazy language crazy language letter word english crazy language","1"
"1","hope material paper writing ill topic paper paper influence television children sources topic suggest list scientific journal talks children television","1"
"1","heres hot dog beer happened miss ripen hit home run score home run player base winning great place watch baseball game bad seat place fans great philadelphia great idea spend day watching game reminds baseball favorite","1"
"1","pizza perfect hits spot","1"
"1","light smoke","1"
"1","scared stiff giving performance performance excellent kindly words","1"
"1","excuse picture camera button press shoot focus camera point press button cheese","1"
"1","country face history live vacuum traditional values long history human beings wrong admit turn true history things wo realized","1"
"1","traveling kathy traveling pleasure places vacation instance traveling work waiting buses stuck traffic jams driving","1"
"1","house small buy big afford loan bank program low cost loans participants home purchases notice house price","1"
"1","ms speak english begin english child learn school time country amazing","1"
"1","black white coffee white folk concert tomorrow evening folk music kind music classical music classical music sends sleep true funny coffee","1"
"1","spare time playing chess hobbies playing chess afraid hobbies playing tennis things playing basketball feeling","1"
"1","john heard prison beg pardon john prison ears","1"
"1","hope material paper writing ill youwhat topic paper paper influence television children sources topic suggest list scientific journal talks children television","1"
"1","hey ted friday day work great plans working hard ill easy sounds nice ill stay relax watch movies stop time","1"
"1","honestly worlds improving year science making industry making opinion medicine making healthier agree sense miserable agree maintain healthier years ago opinion","1"
